EntityID,CanonicalName,Description,SourceBooks,SuggestedSearchQuery,Status,Latitude,Longitude,CoordinateStatus,CoordinateNotes,Reviewer,ReviewedDate
PL_DRIL,Dril-bu-ri,Sacred mountain in Lahul praised in hymn.,Buddhism in Ladakh; The Yogins of Ladakh,Dril-bu-ri Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0016,Igu,Area near Khaspang/Gotsangpa cave.,The Yogins of Ladakh,Igu Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
EXT_PLA_0008,Jokhang,Major temple in Lhasa.,Introduction to Tibetan Buddhism,Jokhang Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_040,Kangri region,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Kangri region Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0018,Kargyak,Village before Shingo La crossing.,The Yogins of Ladakh,Kargyak Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_005,Kashmir-Leh route,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Kashmir-Leh route Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_043,Kharbu,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Kharbu Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_041,Khardongla,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Khardongla Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_020,Khardung Pass,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Khardung Pass Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0023,Khaspang Gompa,Yogin training centre above Sakti/Igu.,The Yogins of Ladakh,Khaspang Gompa Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
EXT_PLA_0006,Kumbum,Important Tibetan Buddhist monastic site and festival location.,Introduction to Tibetan Buddhism,Kumbum Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0024,La Phyi,Milarepa-associated retreat site used by Tipun.,Buddhism in Ladakh; The Yogins of Ladakh,La Phyi Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_028,Ladakh (unclear extent),Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Ladakh (unclear extent) Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_038,Lanak la,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Lanak la Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0030,Lungnak gorge,Zangskar gorge/valley.,The Yogins of Ladakh,Lungnak gorge Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0031,Mahe household,Leh-area household where Crook meets Khamtag Rimpoche.,The Yogins of Ladakh,Mahe household Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
PL_NAROPA_CAVE,Naropa's Cave at Dzongkul,Cave near rDzong-khul associated with Naropa and final retreat.,Buddhism in Ladakh; The Yogins of Ladakh,Naropa's Cave at Dzongkul Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0036,Ngari Khor Sum,Western Tibetan/Ladakhi political-cultural region.,Buddhism in Ladakh; The Yogins of Ladakh; Introduction to Tibetan Buddhism,Ngari Khor Sum Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_051,Nimu,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Nimu Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_042,Nubra,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Nubra Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_050,Nurla,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Nurla Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0037,Nyima Ozer cave,Cave/local site near Sani context.,The Yogins of Ladakh,Nyima Ozer cave Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_022,Pakartse,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Pakartse Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0039,Pentse La,Pass with lakes on route to Zangskar.,The Yogins of Ladakh,Pentse La Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_049,Photu-la,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Photu-la Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0040,Phugtal,Cave monastery in Lungnak gorge.,The Yogins of Ladakh; Famous Western Explorers to Ladakh,Phugtal Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0042,Pipiting,Village/site associated with Ngawang Norbu and chapter title.,The Yogins of Ladakh,Pipiting Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
EXT_PLA_0007,Potala,Palace associated with the Dalai Lamas in Lhasa.,The Yogins of Ladakh; Introduction to Tibetan Buddhism,Potala Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0043,Pume,Lungnak/Zangskar travelogue site.,The Yogins of Ladakh,Pume Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0044,Purang,Western Tibetan region.,Buddhism in Ladakh; The Yogins of Ladakh,Purang Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0046,Riwalsar,Place where Lamayuru yogins trained with Khyunga Rimpoche.,The Yogins of Ladakh,Riwalsar Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0049,Samye Ling,Western Buddhist centre mentioned in the text.,The Yogins of Ladakh,Samye Ling Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
YOL_PLA_0051,Sankar Gompa,Monastery near Leh.,The Yogins of Ladakh,Sankar Gompa Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
EXT_PLA_0005,Sarnath,Site of the Buddha’s first sermon.,The Yogins of Ladakh; Introduction to Tibetan Buddhism,Sarnath Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_047,Shergol,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Shergol Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
ENT_PLA_EX_012,Skardu,Place referenced in Famous Western Explorers to Ladakh.,Famous Western Explorers to Ladakh,Skardu Ladakh Tibet Buddhist site coordinates,needs_review,,,,,,
